Model,Scenario,n_movies,Precision,Recall,F1,MAP,Version
Cosine Similarity,Generic,1,0.2656,0.022142420163499568,0.03183227949660592,0.3545319444444444,Without Revenue and Budget
Euclidean Distance,Generic,1,0.26539999999999997,0.022675403579708556,0.03267445929464396,0.3487361111111111,Without Revenue and Budget
Manhattan Distance,Generic,1,0.3054,0.031625298921145205,0.0441666804452483,0.3994986111111111,Without Revenue and Budget
Cosine Similarity,Generic,5,0.1894,0.0032476144595007697,0.006288353057915516,0.2624916666666667,Without Revenue and Budget
Euclidean Distance,Generic,5,0.2912,0.00580696306620327,0.011152588214368125,0.4181069444444444,Without Revenue and Budget
Manhattan Distance,Generic,5,0.4414,0.009373332378638646,0.0178821934958016,0.5859916666666667,Without Revenue and Budget
Cosine Similarity,Generic,10,0.2286,0.0021363110962378594,0.004221331953311846,0.29864861111111113,Without Revenue and Budget
Euclidean Distance,Generic,10,0.1562,0.001483445232527919,0.0029309394243324603,0.26097777777777775,Without Revenue and Budget
Manhattan Distance,Generic,10,0.335,0.00328060360158204,0.006474066408833512,0.48380555555555554,Without Revenue and Budget
Cosine Similarity,Generic,20,0.2632,0.00148190526330149,0.0029459124730661476,0.34799305555555554,Without Revenue and Budget
Euclidean Distance,Generic,20,0.07560000000000001,0.0004488205124153225,0.0008918836524112364,0.13124027777777778,Without Revenue and Budget
Manhattan Distance,Generic,20,0.207,0.0011871743969286443,0.002359605707739566,0.3127680555555556,Without Revenue and Budget
Cosine Similarity,Generic,30,0.2592,0.001140388206782463,0.002270475555765914,0.34907083333333333,Without Revenue and Budget
Euclidean Distance,Generic,30,0.059800000000000006,0.00026654516101260297,0.0005306688249281777,0.10095,Without Revenue and Budget
Manhattan Distance,Generic,30,0.124,0.0005492758844317643,0.0010935731337813738,0.19034583333333333,Without Revenue and Budget
Cosine Similarity,High Score,1,0.2186,0.019884341509983455,0.026121401553660117,0.3050833333333333,Without Revenue and Budget
Euclidean Distance,High Score,1,0.21320000000000003,0.019128226436096605,0.02574614492923937,0.2920888888888889,Without Revenue and Budget
Manhattan Distance,High Score,1,0.2686,0.029301017484822348,0.03868437595276053,0.36858749999999996,Without Revenue and Budget
Cosine Similarity,High Score,5,0.21180000000000002,0.010031162604838545,0.01818615603530452,0.31177222222222223,Without Revenue and Budget
Euclidean Distance,High Score,5,0.281,0.014529403788273818,0.02627260986465768,0.43521666666666664,Without Revenue and Budget
Manhattan Distance,High Score,5,0.3658,0.019913833886511526,0.03569046057267802,0.54285,Without Revenue and Budget
Cosine Similarity,High Score,10,0.267,0.007031639811807775,0.013608821969193677,0.36828194444444445,Without Revenue and Budget
Euclidean Distance,High Score,10,0.268,0.007583510304815881,0.014616028001308361,0.4068902777777778,Without Revenue and Budget
Manhattan Distance,High Score,10,0.3772,0.01087543011277194,0.020958036014071046,0.5564402777777777,Without Revenue and Budget
Cosine Similarity,High Score,20,0.35919999999999996,0.006418926146866506,0.012600318871654687,0.5069111111111111,Without Revenue and Budget
Euclidean Distance,High Score,20,0.24320000000000003,0.004407037905584408,0.008647535997397522,0.3622361111111111,Without Revenue and Budget
Manhattan Distance,High Score,20,0.3284,0.005972321839007389,0.01171757955762533,0.4711208333333333,Without Revenue and Budget
Cosine Similarity,High Score,30,0.3932,0.00582870375972194,0.011483254334401604,0.5571625,Without Revenue and Budget
Euclidean Distance,High Score,30,0.2346,0.0034667393929013676,0.006829993479414384,0.36931111111111115,Without Revenue and Budget
Manhattan Distance,High Score,30,0.2856,0.004229598206033534,0.008332976809670307,0.4376638888888889,Without Revenue and Budget
Cosine Similarity,Non-English,1,0.1536,0.010006034104297878,0.01270167481587938,0.2350625,Without Revenue and Budget
Euclidean Distance,Non-English,1,0.15,0.010978597017110939,0.013611921759770947,0.23586666666666667,Without Revenue and Budget
Manhattan Distance,Non-English,1,0.191,0.01431701610714409,0.018712894312126135,0.27366527777777777,Without Revenue and Budget
Cosine Similarity,Non-English,5,0.12560000000000002,0.0023482786952617922,0.004474228000316076,0.1920402777777778,Without Revenue and Budget
Euclidean Distance,Non-English,5,0.16620000000000001,0.0033085818211020536,0.006233145726984572,0.2881472222222222,Without Revenue and Budget
Manhattan Distance,Non-English,5,0.2444,0.00455840281445318,0.008671854831798807,0.3940944444444444,Without Revenue and Budget
Cosine Similarity,Non-English,10,0.1162,0.0011714419126524873,0.0023147671863129526,0.20542361111111113,Without Revenue and Budget
Euclidean Distance,Non-English,10,0.1384,0.001430314078999108,0.002824362757235558,0.24372222222222223,Without Revenue and Budget
Manhattan Distance,Non-English,10,0.20420000000000002,0.002092861424916055,0.004134021895578582,0.33940555555555557,Without Revenue and Budget
Cosine Similarity,Non-English,20,0.1396,0.0009108359936306575,0.0018090859536642656,0.23892083333333333,Without Revenue and Budget
Euclidean Distance,Non-English,20,0.1316,0.0008525793332487936,0.0016935584049285722,0.24801666666666666,Without Revenue and Budget
Manhattan Distance,Non-English,20,0.1776,0.0011521283195975566,0.0022884920989044437,0.2985722222222222,Without Revenue and Budget
Cosine Similarity,Non-English,30,0.1708,0.0008724119840743175,0.0017356470131665047,0.2990388888888889,Without Revenue and Budget
Euclidean Distance,Non-English,30,0.1726,0.0008853147019489733,0.0017612707946767139,0.3055486111111111,Without Revenue and Budget
Manhattan Distance,Non-English,30,0.20120000000000002,0.0010430464788923868,0.002074941232478644,0.3298291666666667,Without Revenue and Budget
